"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 04 20:27:56 EEST 2024","Tue Jun 04 20:27:58 EEST 2024","1780","chromium","04_Test_EditRoom.spec.ts","Edit Room Tests","","","create and fail to edit a room with invalid data",""
"passed","Tue Jun 04 20:27:55 EEST 2024","Tue Jun 04 20:27:56 EEST 2024","943","chromium","03_Test_DeleteRoom.spec.ts","Room Deletion Tests","","","attempt to delete a non-existent room",""
"passed","Tue Jun 04 20:27:55 EEST 2024","Tue Jun 04 20:27:56 EEST 2024","1088","chromium","02_Test_CreateRoom.spec.ts","Room Creation Tests","","","Fail to create a room with empty room name",""
"passed","Tue Jun 04 20:27:54 EEST 2024","Tue Jun 04 20:27:55 EEST 2024","1558","chromium","02_Test_CreateRoom.spec.ts","Room Creation Tests","","","Fail to create a room with invalid data",""
"passed","Tue Jun 04 20:19:02 EEST 2024","Tue Jun 04 20:19:13 EEST 2024","11070","chromium","02_Test_CreateRoom.spec.ts","Room Creation Tests","","","Fail to create a room with invalid room name",""
"passed","Tue Jun 04 20:27:54 EEST 2024","Tue Jun 04 20:27:55 EEST 2024","1333","chromium","01_Test_Login.spec.ts","","","","Login Test",""
"failed","Tue Jun 04 20:27:55 EEST 2024","Tue Jun 04 20:28:02 EEST 2024","6471","chromium","03_Test_DeleteRoom.spec.ts","Room Deletion Tests","","","delete a room successfully",""
"passed","Tue Jun 04 20:27:54 EEST 2024","Tue Jun 04 20:27:56 EEST 2024","1806","chromium","02_Test_CreateRoom.spec.ts","Room Creation Tests","","","Create a new room successfully",""
"passed","Tue Jun 04 20:27:54 EEST 2024","Tue Jun 04 20:27:55 EEST 2024","1655","chromium","02_Test_CreateRoom.spec.ts","Room Creation Tests","","","Fail to create a room due to missing name",""
"passed","Tue Jun 04 20:27:56 EEST 2024","Tue Jun 04 20:27:57 EEST 2024","1645","chromium","04_Test_EditRoom.spec.ts","Edit Room Tests","","","create and edit a room successfully",""
